"Timestamp","RF","Em relação às propostas de recuperação salarial, você:","Em relação à proposta de remoção da cláusula de limite para as cessões sem prejuízo dos vencimentos você:","Em relação à proposta de remoção da cláusula de impedimento de ocupar cargos em comissão durante o estágio probatório você:"
"2023/06/16 4:22:22 PM GMT-3","8359121","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:22:43 PM GMT-3","8358885","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Discorda."
"2023/06/16 4:22:44 PM GMT-3","8400164","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Discorda.","Concorda."
"2023/06/16 4:23:26 PM GMT-3","8359091","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Concorda."
"2023/06/16 4:23:45 PM GMT-3","8915181","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:23:51 PM GMT-3","8915237","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Prefere se abster de votar.","Concorda."
"2023/06/16 4:24:35 PM GMT-3","8414572","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Discorda.","Concorda."
"2023/06/16 4:25:56 PM GMT-3","8915199","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:26:47 PM GMT-3","8359237","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Discorda.","Concorda."
"2023/06/16 4:27:21 PM GMT-3","8359059","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Concorda."
"2023/06/16 4:31:12 PM GMT-3","8359113","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:31:38 PM GMT-3","8915521","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:33:13 PM GMT-3","8905703","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:33:41 PM GMT-3","8405638","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Prefere se abster de votar."
"2023/06/16 4:36:33 PM GMT-3","7840501","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:37:53 PM GMT-3","8359008","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:38:21 PM GMT-3","8227896","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Prefere se abster de votar.","Concorda."
"2023/06/16 4:41:40 PM GMT-3","8359592","Concorda com a proposta de reversão do achatamento da progressão da carreira, conforme tabela ao lado direito da imagem","Concorda.","Prefere se abster de votar."
"2023/06/16 4:41:40 PM GMT-3","8905797","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Prefere se abster de votar.","Prefere se abster de votar."
"2023/06/16 4:42:21 PM GMT-3","8359024","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Discorda."
"2023/06/16 4:42:21 PM GMT-3","8894329","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
"2023/06/16 4:43:25 PM GMT-3","8359167","Concorda com a proposta de unificação do quadro QPGG, conforme taleba ao lado esquerdo da imagem","Concorda.","Concorda."
